,lr,lr,lr,llm,llm,llm
,0,1,Macro Mean,0,1,Macro Mean
accuracy,0.9966343298356761,0.9966343298356761,0.9966343298356761,0.9790849673202614,0.9790849673202614,0.9790849673202614
precision,0.9983478876563606,0.9877149877149877,0.9930314376856741,0.9874902267396404,0.9362549800796812,0.9618726034096607
recall,0.9976415094339622,0.9913686806411838,0.994505095037573,0.9874902267396404,0.9362549800796812,0.9618726034096607
f1,0.9979945735519642,0.9895384615384616,0.9937665175452128,0.9874902267396404,0.9362549800796812,0.9618726034096607
