,lr,lr,lr,lr-partial,lr-partial,lr-partial
,0,1,Macro Mean,0,1,Macro Mean
accuracy,0.9966343298356761,0.9966343298356761,0.9966343298356761,0.9819837655909721,0.9819837655909721,0.9819837655909721
precision,0.9983478876563606,0.9877149877149877,0.9930314376856741,0.9796531791907515,0.9958677685950413,0.9877604738928965
recall,0.9976415094339622,0.9913686806411838,0.994505095037573,0.9992924528301886,0.8914919852034525,0.9453922190168206
f1,0.9979945735519642,0.9895384615384616,0.9937665175452128,0.9893753648569761,0.940793754066363,0.9650845594616695
